epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.237,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,23.4099,0.93767,0.61367,1.08969,0.94924,0.9281,0.97105,0.73134,0.82734,0.65475,1.04981,0.00126968,0.00126968,0.00126968
3,34.3905,0.92159,0.58885,1.08154,0.94387,0.93276,0.97715,0.70772,0.85849,0.55095,1.08317,0.0018312,0.0018312,0.0018312
4,45.2662,0.9138,0.56369,1.08761,0.9352,0.9395,0.97541,0.70636,0.95538,0.6172,1.13926,0.0017624,0.0017624,0.0017624
5,56.1158,0.87591,0.53372,1.05783,0.95929,0.95998,0.98566,0.76561,0.80636,0.43602,1.0311,0.0016832,0.0016832,0.0016832
6,67.0046,0.83757,0.49712,1.04376,0.97959,0.95091,0.98876,0.76792,0.78064,0.44525,1.02538,0.001604,0.001604,0.001604
7,77.7911,0.81907,0.49301,1.03572,0.96215,0.94954,0.98641,0.76954,0.78308,0.45396,1.015,0.0015248,0.0015248,0.0015248
8,88.5854,0.80931,0.48688,1.03054,0.98425,0.96712,0.99124,0.78047,0.76851,0.41256,1.02258,0.0014456,0.0014456,0.0014456
9,99.2957,0.78235,0.47379,1.02028,0.97568,0.96332,0.9906,0.78774,0.74952,0.40107,1.01427,0.0013664,0.0013664,0.0013664
10,109.908,0.78065,0.46231,1.01942,0.98257,0.96255,0.99083,0.78684,0.75064,0.3963,1.00357,0.0012872,0.0012872,0.0012872
11,120.383,0.75213,0.44617,0.99693,0.97397,0.96958,0.98995,0.78533,0.7525,0.38913,1.00915,0.001208,0.001208,0.001208
12,130.854,0.73784,0.43113,0.99398,0.98009,0.97203,0.99165,0.78575,0.76089,0.37981,1.01681,0.0011288,0.0011288,0.0011288
13,141.364,0.72856,0.4209,0.99194,0.98474,0.96434,0.99228,0.79216,0.72847,0.36955,1.00196,0.0010496,0.0010496,0.0010496
14,151.945,0.7128,0.41366,0.98305,0.99239,0.97405,0.99365,0.79666,0.72457,0.35238,0.99364,0.0009704,0.0009704,0.0009704
15,162.498,0.69461,0.40089,0.97424,0.98751,0.97,0.99268,0.79273,0.71558,0.35359,0.99711,0.0008912,0.0008912,0.0008912
16,186.271,0.64304,0.35983,0.94546,0.98374,0.96824,0.98958,0.79123,0.72897,0.36768,0.99619,0.000812,0.000812,0.000812
17,196.426,0.62079,0.34783,0.93924,0.98377,0.97007,0.99253,0.802,0.70347,0.34731,0.98766,0.0007328,0.0007328,0.0007328
18,206.602,0.59558,0.33569,0.9247,0.98161,0.96869,0.99311,0.7967,0.72825,0.35011,1.00156,0.0006536,0.0006536,0.0006536
19,216.702,0.59368,0.33151,0.92453,0.98693,0.97385,0.99342,0.80268,0.69086,0.34469,0.98431,0.0005744,0.0005744,0.0005744
20,226.927,0.57315,0.31966,0.91593,0.98806,0.97176,0.99305,0.80746,0.70015,0.33938,0.99505,0.0004952,0.0004952,0.0004952
21,237.142,0.55482,0.30791,0.90851,0.98388,0.97726,0.99315,0.80444,0.69345,0.32568,0.98992,0.000416,0.000416,0.000416
22,247.315,0.5444,0.30941,0.90632,0.98922,0.97889,0.99353,0.81315,0.68598,0.31784,0.98947,0.0003368,0.0003368,0.0003368
23,257.529,0.52222,0.28787,0.88929,0.98658,0.98107,0.99371,0.81217,0.67833,0.30969,0.98023,0.0002576,0.0002576,0.0002576
24,267.698,0.50722,0.28163,0.87981,0.98635,0.97972,0.9937,0.81581,0.67307,0.30693,0.98147,0.0001784,0.0001784,0.0001784
25,277.889,0.49575,0.27434,0.88045,0.98526,0.98506,0.99414,0.81535,0.66656,0.30492,0.97823,9.92e-05,9.92e-05,9.92e-05
