epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0592,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,29.1682,0.95961,0.62809,1.09352,0.86557,0.89648,0.92301,0.64367,0.96066,0.72449,1.10515,0.00126968,0.00126968,0.00126968
3,40.1931,0.96788,0.61417,1.10676,0.92599,0.90805,0.95122,0.67788,0.92908,0.61104,1.10709,0.0018312,0.0018312,0.0018312
4,50.9927,0.98117,0.60228,1.11654,0.90071,0.89221,0.95504,0.72082,0.86487,0.61965,1.08128,0.0017624,0.0017624,0.0017624
5,61.6017,0.88863,0.54186,1.06258,0.93411,0.90787,0.96498,0.69412,0.95803,0.5778,1.09279,0.0016832,0.0016832,0.0016832
6,72.2745,0.86858,0.52663,1.05585,0.95471,0.94479,0.98049,0.74154,0.84428,0.54051,1.05414,0.001604,0.001604,0.001604
7,82.9891,0.86065,0.52258,1.05345,0.9671,0.95945,0.9831,0.75748,0.80691,0.47414,1.03259,0.0015248,0.0015248,0.0015248
8,93.734,0.83503,0.50061,1.04002,0.96223,0.95158,0.98494,0.73571,0.87257,0.47551,1.07126,0.0014456,0.0014456,0.0014456
9,104.389,0.82375,0.49215,1.0368,0.96025,0.92819,0.97859,0.75138,0.822,0.46858,1.03737,0.0013664,0.0013664,0.0013664
10,115.072,0.82125,0.48739,1.03406,0.97093,0.96265,0.98873,0.76195,0.79584,0.43607,1.0124,0.0012872,0.0012872,0.0012872
11,125.795,0.78611,0.46551,1.00982,0.9774,0.96105,0.99049,0.78689,0.74148,0.39448,0.98903,0.001208,0.001208,0.001208
12,136.538,0.77135,0.45324,1.00428,0.96794,0.96661,0.98846,0.77139,0.76573,0.42001,1.00317,0.0011288,0.0011288,0.0011288
13,147.224,0.75037,0.44046,0.99959,0.97292,0.97012,0.99072,0.77879,0.75115,0.37639,1.0008,0.0010496,0.0010496,0.0010496
14,157.914,0.73778,0.4348,0.99048,0.98117,0.96958,0.99038,0.78548,0.75248,0.37825,0.99911,0.0009704,0.0009704,0.0009704
15,168.595,0.73207,0.42093,0.98433,0.98181,0.97118,0.99178,0.79156,0.73213,0.36022,0.99903,0.0008912,0.0008912,0.0008912
16,192.863,0.664,0.3718,0.95135,0.97168,0.97051,0.9894,0.78873,0.72135,0.37946,0.98412,0.000812,0.000812,0.000812
17,203.233,0.65251,0.36368,0.94512,0.96931,0.97065,0.98812,0.78707,0.72977,0.38659,0.99004,0.0007328,0.0007328,0.0007328
18,213.593,0.64125,0.3589,0.93879,0.9806,0.96852,0.99177,0.7942,0.72563,0.37201,0.98565,0.0006536,0.0006536,0.0006536
19,223.936,0.62181,0.35286,0.93125,0.98344,0.96638,0.99254,0.79854,0.71013,0.36552,0.98908,0.0005744,0.0005744,0.0005744
20,234.3,0.60676,0.33896,0.92428,0.97961,0.97225,0.9908,0.79742,0.71539,0.35579,0.99326,0.0004952,0.0004952,0.0004952
21,244.576,0.58936,0.32795,0.91463,0.98038,0.96852,0.99164,0.80157,0.69096,0.33448,0.97623,0.000416,0.000416,0.000416
22,254.922,0.57229,0.32247,0.90925,0.98174,0.97551,0.99283,0.79824,0.69887,0.33354,0.9798,0.0003368,0.0003368,0.0003368
23,265.242,0.55733,0.30698,0.89729,0.98447,0.97279,0.99265,0.80603,0.69459,0.33021,0.98213,0.0002576,0.0002576,0.0002576
24,275.586,0.54191,0.29889,0.89032,0.97761,0.97652,0.99285,0.80675,0.67628,0.3226,0.97584,0.0001784,0.0001784,0.0001784
25,285.923,0.52957,0.29221,0.8895,0.97976,0.97652,0.99336,0.8075,0.67587,0.31525,0.97358,9.92e-05,9.92e-05,9.92e-05
