               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.063026,             0.10325,                   0,             0.57955,             0.75833,             0.67412,              0.2783,            0.056262,            0.057719,                   0,            0.040378,           0.0064793,           0.0064793,              0.2783,             0.67412
                   2,            0.060792,             0.09674,                   0,             0.68397,             0.81057,             0.83424,             0.43108,            0.046272,            0.060944,                   0,            0.010115,           0.0095497,           0.0095497,             0.43108,             0.83424
                   3,            0.053455,            0.090185,                   0,             0.84047,             0.90524,             0.93509,             0.45042,            0.043829,             0.05762,                   0,            0.009406,            0.009406,            0.009406,             0.45042,             0.93509
                   4,            0.045701,            0.091084,                   0,             0.95785,             0.93381,             0.98219,             0.57684,            0.037045,            0.052876,                   0,            0.009406,            0.009406,            0.009406,             0.57684,             0.98219
                   5,            0.041275,            0.088192,                   0,             0.97242,             0.94058,             0.98015,             0.62603,            0.031992,             0.05147,                   0,            0.009208,            0.009208,            0.009208,             0.62603,             0.98015
                   6,            0.037955,            0.084078,                   0,             0.96795,              0.9509,             0.98373,              0.6668,            0.032124,            0.052097,                   0,             0.00901,             0.00901,             0.00901,              0.6668,             0.98373
                   7,            0.036795,            0.085036,                   0,             0.98364,             0.95304,             0.98856,             0.69698,            0.029173,            0.048727,                   0,            0.008812,            0.008812,            0.008812,             0.69698,             0.98856
                   8,            0.034662,            0.080399,                   0,             0.98377,             0.95624,              0.9891,             0.71143,            0.028054,            0.047764,                   0,            0.008614,            0.008614,            0.008614,             0.71143,              0.9891
                   9,            0.033051,            0.081629,                   0,              0.9809,             0.95917,             0.98977,             0.69968,            0.027757,            0.048201,                   0,            0.008416,            0.008416,            0.008416,             0.69968,             0.98977
                  10,             0.03221,            0.075794,                   0,             0.98364,             0.96225,             0.98906,             0.73239,            0.026838,             0.04797,                   0,            0.008218,            0.008218,            0.008218,             0.73239,             0.98906
                  11,            0.032169,            0.074867,                   0,             0.98208,             0.96518,             0.99162,             0.72692,            0.025994,            0.046075,                   0,             0.00802,             0.00802,             0.00802,             0.72692,             0.99162
